,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,source
120998,4EfN6bixdOOgoLYR5C4cWo,Birthday Cake,59,78200,1,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],2011-11-19,0.7020000000000001,0.826,3,-6.497999999999999,1,0.0529,0.32,0.000227,0.355,0.32899999999999996,80.014,4,3
303006,6ihL9TjfRjadfEePzXXyVF,Gives You Hell,74,213107,0,['The All-American Rejects'],['3vAaWhdBR38Q02ohXqaNHT'],2008-01-01,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,4,3
93416,0tyR7Bu9P086aWBFZ4QJoo,Monsters (feat. blackbear),79,174068,1,"['All Time Low', 'blackbear']","['46gyXjRIvN1NL1eCB8GBxo', '2cFrymmkijnjDg9SS92EPM']",2020-04-03,0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.41600000000000004,0.782,78.532,4,3
88229,26rdOwwjC2UnweK3xeS58u,GDFR (feat. Sage the Gemini & Lookas),72,190186,0,"['Flo Rida', 'Sage The Gemini', 'Lookas']","['0jnsk9HBra6NMjO2oANoPY', '6d47Z08T4snK50HgTEHo5Z', '27fy6rHPC58Eo2VUu0iJSG']",2015-04-07,0.657,0.8270000000000001,5,-4.0360000000000005,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,4,3
92857,1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,89,222523,1,"['Black Eyed Peas', 'Shakira']","['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp']",2020-11-02,0.965,0.485,2,-8.783999999999999,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,4,3
185457,1hyEoJnQvkAyEJpxuOZ6C0,Pure & Simple,52,228027,0,"[""Hear'Say""]",['1kMfh3vEY0iWX9SDVjvdsd'],2001-03-26,0.626,0.667,6,-6.6370000000000005,0,0.0417,0.0669,0.0,0.18100000000000002,0.748,75.006,4,3
71582,3oWZwdnnwsCwMukQbPsEiy,"5, 6, 7, 8",63,202267,0,['Steps'],['17UkABEasVRlCcIFZ3wHb7'],1998-09-14,0.71,0.9940000000000001,2,-4.899,1,0.0362,0.00715,0.611,0.29,0.938,140.04,4,3
468595,3YEbLhXRDPTtctnb3ddg8g,Big Ole Freak,67,214851,1,['Megan Thee Stallion'],['181bsRPaVXVlUKXrxwZfHK'],2018-12-21,0.799,0.6990000000000001,2,-7.694,1,0.204,0.00867,0.0,0.132,0.627,142.97899999999998,4,3
81274,0JiY190vktuhSGN6aqJdrt,So What,78,215160,1,['P!nk'],['1KCSPY1glIKqW2TotWuXOR'],2008-10-24,0.534,0.87,11,-3.0780000000000003,0,0.0425,0.00032900000000000003,0.0,0.24100000000000002,0.462,126.01899999999999,4,3
115651,35Dh5MnCUPLN3XyAVtQff3,Do It,73,176787,0,['Chloe x Halle'],['0AsThoR4KZSVktALiNcQwW'],2020-06-03,0.725,0.6679999999999999,5,-7.2860000000000005,0,0.055,0.0932,2.33e-06,0.11199999999999999,0.5660000000000001,82.96600000000001,4,3
66453,6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,74,211213,0,['Ace of Base'],['5ksRONqssB7BR161NTtJAm'],1993-12-24,0.7979999999999999,0.625,11,-9.689,1,0.0548,0.00547,7.979999999999999e-05,0.10300000000000001,0.858,93.764,4,3
91875,2b8fOow8UzyDFAE27YhOZM,Memories,88,189486,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2019-09-20,0.764,0.32,11,-7.209,1,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.01899999999999,4,3
69898,6rqkwoZu5oX5hugeyiJCM8,Follow You Down,53,270067,0,['Gin Blossoms'],['6kXp61QMZFPcKMcRPqoiVj'],1996-01-01,0.461,0.924,4,-7.047000000000001,0,0.0449,0.0123,0.0,0.0342,0.68,155.829,4,3
69456,0z1b34WikhOH9ZxU8QDWcv,One Headlight,72,312627,0,['The Wallflowers'],['0jJNGWrpjGIHUdTTJiIYeB'],1996-01-01,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,4,3
300636,2FfZg072w8RoxlMOR7M4CT,Ants Marching,63,271187,0,['Dave Matthews Band'],['2TI7qyDE0QfyOlnbtfDo7L'],1994-09-27,0.637,0.856,2,-4.34,1,0.034,0.0187,1.99e-05,0.0157,0.846,113.32,4,3
91507,3A2yGHWIzmGEIolwonU69h,Act Up,73,158332,1,['City Girls'],['37hAfseJWi0G3Scife12Il'],2018-11-16,0.938,0.638,8,-4.713,1,0.18899999999999997,0.0167,0.0,0.111,0.313,97.075,4,3
68539,0ttHpMs250dpFkCYAnuhnE,Good,64,185093,0,['Better Than Ezra'],['4UuoJfJ9UybJft7a8E6UHX'],1995-02-28,0.615,0.657,7,-6.872999999999999,1,0.028999999999999998,0.00037200000000000004,0.0204,0.132,0.792,109.95,4,3
75712,65mxB9IWpmVo4qUjdGSxRB,Girls & Boys,64,183493,0,['Good Charlotte'],['5aYyPjAsLj7UzANzdupwnS'],2002-10-04,0.6629999999999999,0.72,3,-5.497000000000001,1,0.0331,0.00212,0.0,0.358,0.608,135.342,4,3
185708,4k1ffvQabEZP9dxwhCkxY9,God Is a DJ,54,225400,1,['P!nk'],['1KCSPY1glIKqW2TotWuXOR'],2003-11-10,0.639,0.977,5,-3.199,0,0.0597,0.0901,2.42e-06,0.23800000000000002,0.4,111.96600000000001,4,3
81286,1dzQoRqT5ucxXVaAhTcT0J,Just Dance,77,241933,0,"['Lady Gaga', ""Colby O'Donis""]","['1HY2Jd0NmPuamShAr6KMms', '7fObcBw9VM3x7ntWKCYl0z']",2008-01-01,0.8220000000000001,0.7390000000000001,1,-4.541,0,0.0311,0.0264,4.26e-05,0.18100000000000002,0.745,118.992,4,3
